"Axis-limits","x","obs","calc","bkg","diff","zero","Bi","Li2Te","LiBi","tick-pos","diff/sigma"
" ",66.75171862,924.0,1022.7772837808708,898.8951725372582,-360.9772837808708," "," "," "," "," ",-3.2495340971912694
" ",66.77797918,967.0,1019.6478801409573,898.6800762775563,-314.84788014095733," "," "," "," "," ",-1.6930416671905397
" ",66.80423975,1012.0,1016.6509775415582,898.4640155406489,-266.85097754155817," "," "," "," "," ",-0.1462022284130606
" ",66.83050030999999,916.0,1013.7855405932597,898.2469395409527,-359.9855405932597," "," "," "," "," ",-3.2309251933938405
" ",66.85676088,1028.0,1011.0525131195217,898.0287977757879,-245.25251311952167," "," "," "," "," ",0.5285775945017259
" ",66.88302144000001,1027.0,1008.4544208602263,897.8095407143799,-243.65442086022625," "," "," "," "," ",0.5787022546083008
" ",66.90928201,974.0,1005.9948939431624,897.5891191606925,-294.1948939431624," "," "," "," "," ",-1.0251825314201277
" ",66.93554257,1008.0,1003.6776035842356,897.3674849487595,-257.8776035842356," "," "," "," "," ",0.1361426891392284
" ",66.96180314,998.0,1001.5067035578508,897.1445902982344,-265.70670355785074," "," "," "," "," ",-0.1110027615292224
" ",66.9880637,985.0,999.4856098270723,896.9203885165955,-276.68560982707226," "," "," "," "," ",-0.4615499020724509
" ",67.01432427,956.0,997.6171824475276,896.6948333467698,-303.8171824475276," "," "," "," "," ",-1.3459958584871115
" ",67.04058483,969.0,995.9034667164212,896.4678796767382,-289.1034667164212," "," "," "," "," ",-0.8642638638706429
" ",67.0668454,1020.0,994.3461616829336,896.2394828786091,-236.5461616829336," "," "," "," "," ",0.8032528317961375
" ",67.09310596,1037.0,992.945759580422,896.0095995261313,-218.14575958042195," "," "," "," "," ",1.368038578004667
" ",67.11936653,972.0,991.7026552425541,895.7781867246104,-281.9026552425541," "," "," "," "," ",-0.6319629521572003
" ",67.14562709,1034.0,990.6167553020763,895.5452028368139,-218.81675530207627," "," "," "," "," ",1.34915474835306
" ",67.17188766,1022.0,989.6879582656425,895.3106068031507,-229.88795826564245," "," "," "," "," ",1.010738827618845
" ",67.19814822000001,1008.0,988.9162297734141,895.0743588764302,-243.1162297734141," "," "," "," "," ",0.6010822580008747
" ",67.22440879,1011.0,988.3021194158423,894.8364199317361,-239.5021194158423," "," "," "," "," ",0.7138545494096595
" ",67.25066935,1034.0,987.8465132784038,894.5967522104909,-216.04651327840378," "," "," "," "," ",1.4353051782332809
" ",67.27692992,1026.0,987.5506481466745,894.3553186194785,-223.75064814667445," "," "," "," "," ",1.2003705712041866
" ",67.30319048,987.0,987.4167061862918,894.1120834846315,-262.61670618629176," "," "," "," "," ",-0.013263904111315583
" ",67.32945105,998.0,987.4475079833455,893.8670118386899,-251.64750798334552," "," "," "," "," ",0.3340332980931066
" ",67.35571161,980.0,987.6466302006678,893.6200701850988,-269.8466302006678," "," "," "," "," ",-0.2442626393635039
" ",67.38197218,1006.0,988.0184968421761,893.3712257738168,-244.21849684217608," "," "," "," "," ",0.5669268213775815
" ",67.40823274,980.0,988.5683775184438,893.1204473756947,-270.76837751844374," "," "," "," "," ",-0.27370677707615565
" ",67.43449331,998.0,989.3013743934532,892.8677045459588,-253.5013743934532," "," "," "," "," ",0.275350182274117
" ",67.46075387,1079.0,990.2237996242905,892.6129684094187,-173.42379962429044," "," "," "," "," ",2.7026252898592125
" ",67.48701444,1015.0,991.3418596256621,892.3562109111905,-238.54185962566208," "," "," "," "," ",0.7425874040665632
" ",67.51327500000001,1045.0,992.6615295141722,892.0974056130411,-209.86152951417222," "," "," "," "," ",1.619059757419395
" ",67.53953557,1030.0,994.1882741427146,891.8365269309472,-226.38827414271458," "," "," "," "," ",1.1158521122967806
" ",67.56579613,962.0,995.9262139290627,891.57355094286,-296.12621392906266," "," "," "," "," ",-1.0938250322715255
" ",67.5920567,1010.0,997.8776586795385,891.3084546127167,-250.0776586795385," "," "," "," "," ",0.38143963955193927
" ",67.61831726,992.0,1000.0407991059521,891.0412166098879,-270.24079910595214," "," "," "," "," ",-0.25529563093051777
" ",67.64457783,1018.0,1002.4105326140719,890.771816519294,-246.61053261407193," "," "," "," "," ",0.4886044211819999
" ",67.67083839,995.0,1004.9756102134743,890.5002356727528,-272.1756102134743," "," "," "," "," ",-0.3162481001618135
" ",67.69709896,1024.0,1007.7175055308675,890.2264563448902,-245.91750553086746," "," "," "," "," ",0.5088279521603916
" ",67.72335952,1089.0,1010.6088023898541,889.9504625965841,-183.80880238985407," "," "," "," "," ",2.3754908366710885
" ",67.74962009,1004.0,1013.6117571575431,889.672239456382,-271.8117571575431," "," "," "," "," ",-0.30334436642877494
" ",67.77588065,994.0,1016.6761062054385,889.391773776205,-284.8761062054385," "," "," "," "," ",-0.7192424038366209
" ",67.80214122000001,983.0,1019.741202899031,889.1090533980258,-298.941202899031," "," "," "," "," ",-1.17186237182317
" ",67.82840178000001,992.0,1022.7350136903096,888.8240680219587,-292.93501369030963," "," "," "," "," ",-0.9758376758744506
" ",67.85466235,1063.0,1025.576842248036,888.536808357985,-224.77684224803596," "," "," "," "," ",1.147820019216972
" ",67.88092291,1021.0,1028.1813582388913,888.2472670065237,-269.3813582388913," "," "," "," "," ",-0.22474690285491739
" ",67.90718348,996.0,1030.4630949329653,887.9554375950316,-296.6630949329653," "," "," "," "," ",-1.0920049391506
" ",67.93344404,990.0,1032.3426760155753,887.6613156711145,-304.5426760155753," "," "," "," "," ",-1.3457386026838798
" ",67.95970461,1029.0,1033.7533359860138,887.3648978238527,-266.95333598601377," "," "," "," "," ",-0.14818042086792055
" ",67.98596517,970.0,1034.6449780603107,887.0661825894895,-326.84497806031067," "," "," "," "," ",-2.075625154790916
" ",68.01222574,1004.0,1034.9875503846756,886.7651695573782,-293.1875503846756," "," "," "," "," ",-0.9779584195218967
" ",68.0384863,974.0,1034.7720305962787,886.4618602882322,-322.97203059627867," "," "," "," "," ",-1.9472614685615792
" ",68.06474687,966.0,1034.0082069287123,886.156257404636,-330.2082069287123," "," "," "," "," ",-2.1881281580237713
" ",68.09100743,948.0,1032.7243457704844,885.8483655218097,-346.9243457704844," "," "," "," "," ",-2.7517187948208255
" ",68.11726800000001,984.0,1030.9614356355328,885.538190322654,-309.16143563553277," "," "," "," "," ",-1.4970759021545688
" ",68.14352856000001,958.0,1028.7713435388946,885.2257395009589,-332.9713435388946," "," "," "," "," ",-2.286518328676153
" ",68.16978913,978.0,1026.213512437611,884.9110218209862,-310.4135124376109," "," "," "," "," ",-1.541698102874548
" ",68.19604969,962.0,1023.3527533443021,884.5940480730105,-323.55275334430206," "," "," "," "," ",-1.9780921486582244
" ",68.22231026,946.0,1020.2564804433114,884.2748301174925,-336.45648044331136," "," "," "," "," ",-2.4142864267953685
" ",68.24857082,994.0,1016.9941824290706,883.9533818527977,-285.1941824290706," "," "," "," "," ",-0.7293311688836638
" ",68.27483139,993.0,1013.6320917421625,883.6297182440547,-282.8320917421625," "," "," "," "," ",-0.6547396309947551
" ",68.30109195,1015.0,1010.2328502230804,883.3038563028668,-257.4328502230804," "," "," "," "," ",0.14963244454661834
" ",68.32735252,997.0,1006.8531704113557,882.9758141009806,-272.05317041135567," "," "," "," "," ",-0.31205303598016254
" ",68.35361308,1022.0,1003.5417437815842,882.64561176177,-243.74174378158415," "," "," "," "," ",0.5773846296519346
" ",68.37987365,970.0,1000.3393208113814,882.31327045889,-292.5393208113814," "," "," "," "," ",-0.9741368834037495
" ",68.40613421,922.0,997.2785115013044,881.9788134192727,-337.47851150130435," "," "," "," "," ",-2.4791657370315336
" ",68.43239478000001,993.0,994.382703838828,881.6422649069735,-263.58270383882797," "," "," "," "," ",-0.04387877935610486
" ",68.45865533999999,950.0,991.6684004528788,881.3036512373938,-303.8684004528788," "," "," "," "," ",-1.3519014281934605
" ",68.48491591,950.0,989.145787697006,880.9629997465643,-301.34578769700596," "," "," "," "," ",-1.2700570629099852
" ",68.51117647,963.0,986.8197595356654,880.6203398162655,-286.0197595356654," "," "," "," "," ",-0.7675810308274358
" ",68.53743704,994.0,984.690880832075,880.2757018290449,-252.89088083207497," "," "," "," "," ",0.2952673262014511
" ",68.5636976,994.0,982.7580503689202,879.9291182038684,-250.95805036892017," "," "," "," "," ",0.35657298493904765
" ",68.58995817,944.0,981.0165300914323,879.5806223372001,-299.2165300914323," "," "," "," "," ",-1.2047854348888083
" ",68.61621873,940.0,979.4607268109052,879.2302496487922,-301.66072681090515," "," "," "," "," ",-1.28706701229091
" ",68.6424793,1009.0,978.0842272961019,878.8780365091953,-231.28422729610185," "," "," "," "," ",0.9732726676952115
" ",68.66873986,1046.0,976.8800453677592,878.5240212952536,-193.08004536775917," "," "," "," "," ",2.1371627974082066
" ",68.69500043,956.0,975.8410945594484,878.1682433044595,-282.04109455944837," "," "," "," "," ",-0.6417068512156141
