"Instparm: Type","PNC"
"Instparm: Lam",  1.909000
"Instparm: Zero", -0.001000
"Instparm: Polariz.",      0.00
"Instparm: U",    354.03
"Instparm: V",   -760.40
"Instparm: W",    651.59
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Azimuth",      0.00
"Instparm: Source"," "
"Instparm: Bank",      1.00
"Samparm: InstrName",
"Samparm: Scale",   7113.31
"Samparm: Type",Debye-Scherrer
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
32.6,325,0.0153846,225.306,211.088,1.8476
32.65,336,0.014881,231.318,211.116,1.85036
32.7,359,0.0139276,242.244,211.144,1.85311
32.75,405,0.0123457,260.243,211.172,1.85587
32.8,458,0.010917,287.959,211.2,1.85862
32.85,501,0.00998004,328.08,211.228,1.86138
32.9,564,0.00886525,382.632,211.256,1.86413
32.95,640,0.0078125,452.078,211.284,1.86689
33,719,0.0069541,534.428,211.312,1.86964
33.05,783,0.0063857,624.67,211.339,1.8724
33.1,837,0.00597372,714.818,211.367,1.87515
33.15,851,0.00587544,794.75,211.395,1.8779
33.2,866,0.00577367,853.815,211.423,1.88066
33.25,828,0.00603865,883.068,211.451,1.88341
33.3,763,0.00655308,877.695,211.478,1.88616
33.35,697,0.0071736,838.604,211.506,1.88891
33.4,634,0.00788644,772.109,211.534,1.89166
33.45,541,0.00924214,687.941,211.561,1.89441
33.5,465,0.0107527,596.802,211.589,1.89716
33.55,391,0.0127877,508.299,211.617,1.89991
33.6,351,0.014245,429.563,211.644,1.90266
33.65,301,0.0166113,364.662,211.672,1.90541
33.7,284,0.0176056,314.774,211.7,1.90816
33.75,260,0.0192308,278.898,211.727,1.91091
33.8,248,0.0201613,254.785,211.755,1.91366
